,id,item_id,dept_id,cat_id,store_id,state_id,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28
33,HOBBIES_1_034_CA_1_validation,HOBBIES_1_034,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0
34,HOBBIES_1_035_CA_1_validation,HOBBIES_1_035,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,HOBBIES_1_036_CA_1_validation,HOBBIES_1_036,HOBBIES_1,HOBBIES,CA_1,CA,2,1,0,0,0,0,0,0,2,7,1,0,0,0,2,5,0,5,2,1,0,0,1,3,0,0,1,1
36,HOBBIES_1_037_CA_1_validation,HOBBIES_1_037,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,HOBBIES_1_038_CA_1_validation,HOBBIES_1_038,HOBBIES_1,HOBBIES,CA_1,CA,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,3,0,0,0,0,1,1,2,2,0,0,0,1
38,HOBBIES_1_039_CA_1_validation,HOBBIES_1_039,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,HOBBIES_1_040_CA_1_validation,HOBBIES_1_040,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,HOBBIES_1_041_CA_1_validation,HOBBIES_1_041,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,HOBBIES_1_042_CA_1_validation,HOBBIES_1_042,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,HOBBIES_1_043_CA_1_validation,HOBBIES_1_043,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,13,0,0,0,0,0,4,2
43,HOBBIES_1_044_CA_1_validation,HOBBIES_1_044,HOBBIES_1,HOBBIES,CA_1,CA,3,3,2,1,1,0,4,8,1,1,1,1,2,1,4,4,2,3,3,0,3,5,3,2,6,5,1,2
44,HOBBIES_1_045_CA_1_validation,HOBBIES_1_045,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,HOBBIES_1_046_CA_1_validation,HOBBIES_1_046,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,HOBBIES_1_047_CA_1_validation,HOBBIES_1_047,HOBBIES_1,HOBBIES,CA_1,CA,1,2,3,0,1,1,3,5,3,0,5,1,0,5,2,3,2,2,1,0,5,5,3,2,1,10,0,0
47,HOBBIES_1_048_CA_1_validation,HOBBIES_1_048,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,HOBBIES_1_049_CA_1_validation,HOBBIES_1_049,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,HOBBIES_1_050_CA_1_validation,HOBBIES_1_050,HOBBIES_1,HOBBIES,CA_1,CA,2,0,1,0,1,0,2,1,0,0,1,0,0,2,2,0,0,0,0,0,2,0,1,1,1,1,0,0
50,HOBBIES_1_051_CA_1_validation,HOBBIES_1_051,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,HOBBIES_1_052_CA_1_validation,HOBBIES_1_052,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,HOBBIES_1_053_CA_1_validation,HOBBIES_1_053,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,HOBBIES_1_054_CA_1_validation,HOBBIES_1_054,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,HOBBIES_1_055_CA_1_validation,HOBBIES_1_055,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,2,0,0,0,2,1,0,0,0,1,1,1,4,0,0,0,0,0,0,0,1,0,0,1,0
55,HOBBIES_1_056_CA_1_validation,HOBBIES_1_056,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,HOBBIES_1_057_CA_1_validation,HOBBIES_1_057,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,HOBBIES_1_058_CA_1_validation,HOBBIES_1_058,HOBBIES_1,HOBBIES,CA_1,CA,1,2,3,0,0,0,0,1,1,0,0,0,0,3,1,1,0,1,0,0,0,2,2,0,1,1,0,1
58,HOBBIES_1_060_CA_1_validation,HOBBIES_1_060,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,HOBBIES_1_061_CA_1_validation,HOBBIES_1_061,HOBBIES_1,HOBBIES,CA_1,CA,1,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3
60,HOBBIES_1_062_CA_1_validation,HOBBIES_1_062,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,HOBBIES_1_063_CA_1_validation,HOBBIES_1_063,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1
62,HOBBIES_1_064_CA_1_validation,HOBBIES_1_064,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,0,0,0,0,0,0,1,0,0,0,3,0
63,HOBBIES_1_065_CA_1_validation,HOBBIES_1_065,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,HOBBIES_1_066_CA_1_validation,HOBBIES_1_066,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,HOBBIES_1_067_CA_1_validation,HOBBIES_1_067,HOBBIES_1,HOBBIES,CA_1,CA,0,7,6,7,4,5,5,35,14,10,37,6,9,5,49,4,8,1,5,1,4,15,0,0,26,2,30,0
66,HOBBIES_1_068_CA_1_validation,HOBBIES_1_068,HOBBIES_1,HOBBIES,CA_1,CA,1,0,2,0,1,0,1,6,0,2,5,1,1,0,3,2,3,2,1,1,1,0,2,0,1,2,2,0
67,HOBBIES_1_069_CA_1_validation,HOBBIES_1_069,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,HOBBIES_1_070_CA_1_validation,HOBBIES_1_070,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,HOBBIES_1_072_CA_1_validation,HOBBIES_1_072,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,HOBBIES_1_073_CA_1_validation,HOBBIES_1_073,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,HOBBIES_1_074_CA_1_validation,HOBBIES_1_074,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,HOBBIES_1_075_CA_1_validation,HOBBIES_1_075,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,1,2,1,2,2,1,2,2,0,0,5,0,1,0,0,2,0,1,0,2,0,0,2
73,HOBBIES_1_076_CA_1_validation,HOBBIES_1_076,HOBBIES_1,HOBBIES,CA_1,CA,0,1,2,3,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
74,HOBBIES_1_077_CA_1_validation,HOBBIES_1_077,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,HOBBIES_1_078_CA_1_validation,HOBBIES_1_078,HOBBIES_1,HOBBIES,CA_1,CA,5,0,0,0,0,0,0,0,8,5,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,HOBBIES_1_079_CA_1_validation,HOBBIES_1_079,HOBBIES_1,HOBBIES,CA_1,CA,2,0,1,2,0,3,3,1,0,0,0,1,2,4,0,2,0,2,1,1,0,0,1,2,1,0,5,2
77,HOBBIES_1_080_CA_1_validation,HOBBIES_1_080,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
78,HOBBIES_1_081_CA_1_validation,HOBBIES_1_081,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,HOBBIES_1_082_CA_1_validation,HOBBIES_1_082,HOBBIES_1,HOBBIES,CA_1,CA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
80,HOBBIES_1_083_CA_1_validation,HOBBIES_1_083,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,HOBBIES_1_084_CA_1_validation,HOBBIES_1_084,HOBBIES_1,HOBBIES,CA_1,CA,4,1,1,1,2,3,1,1,2,1,0,1,1,2,4,0,2,1,3,2,4,0,3,1,4,0,0,0
82,HOBBIES_1_085_CA_1_validation,HOBBIES_1_085,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,HOBBIES_1_086_CA_1_validation,HOBBIES_1_086,HOBBIES_1,HOBBIES,CA_1,CA,1,1,0,3,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
84,HOBBIES_1_087_CA_1_validation,HOBBIES_1_087,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,HOBBIES_1_088_CA_1_validation,HOBBIES_1_088,HOBBIES_1,HOBBIES,CA_1,CA,1,0,2,0,0,0,0,8,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
86,HOBBIES_1_089_CA_1_validation,HOBBIES_1_089,HOBBIES_1,HOBBIES,CA_1,CA,5,4,4,5,2,3,5,3,5,1,2,4,9,5,7,2,0,3,1,4,7,11,7,6,3,2,4,8
87,HOBBIES_1_090_CA_1_validation,HOBBIES_1_090,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,HOBBIES_1_091_CA_1_validation,HOBBIES_1_091,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,HOBBIES_1_092_CA_1_validation,HOBBIES_1_092,HOBBIES_1,HOBBIES,CA_1,CA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0
90,HOBBIES_1_093_CA_1_validation,HOBBIES_1_093,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,HOBBIES_1_094_CA_1_validation,HOBBIES_1_094,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,HOBBIES_1_095_CA_1_validation,HOBBIES_1_095,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,HOBBIES_1_097_CA_1_validation,HOBBIES_1_097,HOBBIES_1,HOBBIES,CA_1,CA,0,4,2,0,2,0,1,0,4,0,3,2,0,1,0,3,2,1,3,1,0,2,0,0,0,0,0,2
94,HOBBIES_1_098_CA_1_validation,HOBBIES_1_098,HOBBIES_1,HOBBIES,CA_1,CA,2,2,4,0,0,0,0,3,3,1,1,0,0,1,2,1,0,0,0,2,2,1,0,0,0,3,3,0
95,HOBBIES_1_099_CA_1_validation,HOBBIES_1_099,HOBBIES_1,HOBBIES,CA_1,CA,2,1,1,1,3,1,3,5,3,3,0,1,1,4,3,4,4,2,3,2,3,0,2,3,3,3,0,5
96,HOBBIES_1_100_CA_1_validation,HOBBIES_1_100,HOBBIES_1,HOBBIES,CA_1,CA,1,2,2,1,3,1,5,4,1,2,2,1,1,1,3,3,4,1,3,0,1,1,0,3,3,0,3,1
97,HOBBIES_1_102_CA_1_validation,HOBBIES_1_102,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,HOBBIES_1_103_CA_1_validation,HOBBIES_1_103,HOBBIES_1,HOBBIES,CA_1,CA,25,8,5,22,7,16,0,5,16,30,2,25,5,24,0,0,0,0,19,9,14,43,4,21,13,0,26,1
99,HOBBIES_1_104_CA_1_validation,HOBBIES_1_104,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HOBBIES_1_105_CA_1_validation,HOBBIES_1_105,HOBBIES_1,HOBBIES,CA_1,CA,0,0,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
101,HOBBIES_1_106_CA_1_validation,HOBBIES_1_106,HOBBIES_1,HOBBIES,CA_1,CA,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,1,0
102,HOBBIES_1_107_CA_1_validation,HOBBIES_1_107,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,HOBBIES_1_108_CA_1_validation,HOBBIES_1_108,HOBBIES_1,HOBBIES,CA_1,CA,4,2,6,5,1,6,2,7,4,1,2,0,2,2,1,4,2,0,3,1,2,4,4,4,1,3,2,3
104,HOBBIES_1_109_CA_1_validation,HOBBIES_1_109,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,HOBBIES_1_110_CA_1_validation,HOBBIES_1_110,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
106,HOBBIES_1_111_CA_1_validation,HOBBIES_1_111,HOBBIES_1,HOBBIES,CA_1,CA,4,0,4,0,2,2,0,4,0,2,10,1,0,2,4,1,0,0,0,0,0,4,0,0,0,0,0,0
107,HOBBIES_1_112_CA_1_validation,HOBBIES_1_112,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
108,HOBBIES_1_113_CA_1_validation,HOBBIES_1_113,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,HOBBIES_1_114_CA_1_validation,HOBBIES_1_114,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,HOBBIES_1_115_CA_1_validation,HOBBIES_1_115,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,HOBBIES_1_116_CA_1_validation,HOBBIES_1_116,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,HOBBIES_1_117_CA_1_validation,HOBBIES_1_117,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
113,HOBBIES_1_118_CA_1_validation,HOBBIES_1_118,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,1,1,0,0,0
114,HOBBIES_1_119_CA_1_validation,HOBBIES_1_119,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,HOBBIES_1_120_CA_1_validation,HOBBIES_1_120,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,HOBBIES_1_121_CA_1_validation,HOBBIES_1_121,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,HOBBIES_1_122_CA_1_validation,HOBBIES_1_122,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,HOBBIES_1_123_CA_1_validation,HOBBIES_1_123,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,HOBBIES_1_124_CA_1_validation,HOBBIES_1_124,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,HOBBIES_1_125_CA_1_validation,HOBBIES_1_125,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,HOBBIES_1_126_CA_1_validation,HOBBIES_1_126,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
