id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
FOODS_1_005_TX_3_validation,2,3,3,2,0,2,2,3,2,2,2,0,1,3,4,5,2,2,2,0,0,0,4,0,0,0,4,1
FOODS_1_005_WI_1_validation,3,11,2,0,0,5,7,1,0,5,4,1,5,2,1,4,4,4,3,2,3,3,0,0,4,3,3,2
FOODS_1_005_WI_2_validation,3,1,1,1,0,5,1,2,0,2,0,1,2,0,5,1,3,0,1,0,2,1,1,1,0,0,1,0
FOODS_1_005_WI_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
FOODS_1_006_CA_1_validation,0,0,3,1,7,2,10,1,0,0,0,0,10,7,8,19,3,1,0,0,0,5,1,7,0,0,2,3
FOODS_1_006_CA_2_validation,1,1,1,3,0,1,5,6,5,0,0,1,2,5,3,4,3,0,1,3,0,1,4,2,0,0,0,0
FOODS_1_006_CA_3_validation,0,0,0,0,1,4,6,0,4,3,4,2,0,0,0,0,0,0,1,5,9,1,4,0,0,0,1,0
FOODS_1_006_CA_4_validation,2,1,3,0,5,3,1,1,7,1,0,2,0,4,2,5,3,1,4,1,0,2,3,3,1,2,2,3
FOODS_1_006_TX_1_validation,2,1,2,0,0,3,1,2,4,1,1,0,1,6,3,10,2,2,0,0,3,0,0,2,1,1,0,0
FOODS_1_006_TX_2_validation,1,1,3,1,0,3,3,3,0,0,4,0,5,0,3,13,0,0,0,0,1,1,0,2,2,3,0,1
FOODS_1_006_TX_3_validation,5,1,0,0,0,0,3,1,3,2,0,1,4,2,4,6,5,7,0,1,3,1,1,5,4,1,0,2
FOODS_1_006_WI_1_validation,3,3,5,0,0,1,14,3,1,0,5,20,5,0,5,10,4,5,1,0,5,6,6,3,0,4,3,4
FOODS_1_006_WI_2_validation,2,1,2,11,0,2,2,2,2,2,3,1,1,5,2,8,6,6,9,6,4,4,0,2,1,3,4,2
FOODS_1_006_WI_3_validation,0,0,1,0,1,2,9,2,1,1,3,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,5,6
FOODS_1_008_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_008_CA_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_008_CA_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_008_CA_4_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_008_TX_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_008_TX_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_008_TX_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_008_WI_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_008_WI_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_008_WI_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_009_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_009_CA_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_009_CA_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_009_CA_4_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_009_TX_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_009_TX_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_009_TX_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_009_WI_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_009_WI_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_009_WI_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_010_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_010_CA_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_010_CA_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_010_CA_4_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_010_TX_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_010_TX_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_010_TX_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_010_WI_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_010_WI_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_010_WI_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_011_CA_1_validation,2,1,0,0,0,0,3,0,0,1,0,0,4,0,1,2,2,2,2,0,0,0,0,0,0,0,0,1
FOODS_1_011_CA_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_011_CA_3_validation,1,0,2,0,0,1,0,1,3,3,2,0,0,3,0,3,1,0,1,1,0,1,0,1,0,0,0,1
FOODS_1_011_CA_4_validation,1,0,0,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,4,0,0,3,2,1,0,0,1,0
FOODS_1_011_TX_1_validation,1,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,2,0,2,0,1,1,3,2,0
FOODS_1_011_TX_2_validation,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,5,2,0,1,1,0,0
FOODS_1_011_TX_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_011_WI_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_011_WI_2_validation,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
FOODS_1_011_WI_3_validation,2,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,4,1,0,0,0,0,0
FOODS_1_012_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_012_CA_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_012_CA_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_012_CA_4_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_012_TX_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_012_TX_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_012_TX_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_012_WI_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_012_WI_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_012_WI_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_013_CA_1_validation,2,1,3,3,2,1,2,0,0,2,3,1,0,2,2,7,3,1,1,0,0,0,0,3,0,0,1,1
FOODS_1_013_CA_2_validation,1,3,0,3,2,6,0,6,3,4,2,3,0,5,7,1,0,3,0,0,3,6,16,2,4,3,3,3
FOODS_1_013_CA_3_validation,2,0,10,1,2,0,2,1,1,3,3,8,2,8,2,0,7,4,0,0,10,1,5,10,3,4,0,0
FOODS_1_013_CA_4_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_013_TX_1_validation,0,0,0,0,0,0,0,0,2,0,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FOODS_1_013_TX_2_validation,2,5,3,0,0,0,0,1,0,3,0,3,1,1,1,6,4,0,0,0,3,0,1,0,1,0,1,3
FOODS_1_013_TX_3_validation,0,0,1,0,5,1,0,0,0,1,0,0,0,0,1,7,4,0,0,0,0,0,0,0,0,2,0,0
FOODS_1_013_WI_1_validation,0,0,0,0,0,6,9,1,2,3,3,8,3,6,4,2,0,0,2,11,3,4,5,0,6,4,2,1
FOODS_1_013_WI_2_validation,0,0,1,0,2,4,3,0,0,0,1,0,1,0,7,2,3,0,0,0,1,3,0,2,4,1,0,0
FOODS_1_013_WI_3_validation,1,0,2,1,1,2,2,0,1,2,0,0,1,0,1,1,2,0,1,3,0,3,0,1,0,3,0,0
FOODS_1_014_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_014_CA_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_014_CA_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_014_CA_4_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_014_TX_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_014_TX_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_014_TX_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_014_WI_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_014_WI_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_014_WI_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_015_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FOODS_1_015_CA_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_015_CA_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_015_CA_4_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_015_TX_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_015_TX_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_015_TX_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_015_WI_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_015_WI_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_015_WI_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_016_CA_1_validation,4,1,0,1,4,3,1,1,0,1,0,0,1,0,6,2,0,2,0,1,2,0,4,0,1,0,2,0
FOODS_1_016_CA_2_validation,1,0,0,0,3,0,0,1,2,1,0,0,2,0,7,0,0,0,0,1,0,1,0,6,0,0,0,0
FOODS_1_016_CA_3_validation,3,0,0,0,0,1,0,0,0,2,0,1,3,2,0,0,2,0,1,1,0,0,1,0,0,0,0,1
FOODS_1_016_CA_4_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_016_TX_1_validation,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
FOODS_1_016_TX_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_016_TX_3_validation,0,1,0,0,0,1,0,0,1,1,0,0,1,0,4,1,1,0,0,1,0,1,0,0,0,0,1,0
FOODS_1_016_WI_1_validation,1,1,0,0,0,2,0,3,0,0,0,0,1,1,1,2,0,0,0,0,0,2,3,0,1,0,0,0
FOODS_1_016_WI_2_validation,0,2,0,0,0,4,1,1,0,0,0,0,0,0,2,3,0,1,0,1,0,5,0,1,0,2,1,1
FOODS_1_016_WI_3_validation,4,0,0,0,0,1,0,1,0,0,1,0,2,0,1,3,0,2,1,1,1,0,0,0,1,2,0,0
FOODS_1_017_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_017_CA_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_017_CA_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_017_CA_4_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_017_TX_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_017_TX_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_017_TX_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_017_WI_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_017_WI_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_017_WI_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_018_CA_1_validation,17,3,8,2,5,0,1,5,12,4,7,9,2,5,11,6,3,3,3,2,14,19,12,8,2,3,3,4
FOODS_1_018_CA_2_validation,4,1,5,4,3,3,4,4,2,3,3,2,3,3,3,0,0,0,1,3,1,6,2,2,0,1,2,0
FOODS_1_018_CA_3_validation,2,2,2,3,2,0,3,2,1,3,4,4,2,8,4,7,1,1,1,2,6,0,3,0,1,0,6,3
FOODS_1_018_CA_4_validation,2,0,0,2,1,1,2,7,2,0,4,1,3,3,0,4,0,0,0,4,3,0,0,0,0,0,0,0
FOODS_1_018_TX_1_validation,0,1,0,0,1,1,1,0,0,0,0,4,1,1,0,1,0,0,1,4,0,0,0,2,1,0,0,0
FOODS_1_018_TX_2_validation,4,1,0,1,0,2,5,8,3,2,3,6,0,0,0,0,0,0,0,2,1,0,6,1,2,7,0,0
FOODS_1_018_TX_3_validation,5,1,8,1,0,2,1,0,3,1,2,2,3,3,2,1,0,0,0,1,2,0,1,0,0,3,2,1
FOODS_1_018_WI_1_validation,9,13,3,3,0,5,3,3,1,3,3,1,6,2,7,1,1,4,1,3,6,8,1,0,1,4,1,3
FOODS_1_018_WI_2_validation,2,4,2,8,0,1,6,1,2,0,1,1,4,2,1,6,2,2,2,1,3,2,6,1,0,3,3,2
FOODS_1_018_WI_3_validation,2,0,2,0,1,3,4,2,5,0,1,3,2,9,2,4,0,1,1,2,0,5,4,2,3,2,1,1
FOODS_1_019_CA_1_validation,15,9,6,0,3,3,3,16,6,5,5,1,15,4,4,5,10,4,5,6,8,9,11,15,4,2,6,7
FOODS_1_019_CA_2_validation,19,18,6,11,5,0,14,10,12,18,25,22,34,27,4,0,18,5,14,9,14,0,0,0,0,21,13,21
FOODS_1_019_CA_3_validation,6,18,5,10,7,15,2,8,16,10,10,10,6,15,15,18,0,3,9,8,16,13,18,23,16,9,3,9
FOODS_1_019_CA_4_validation,5,5,6,6,5,4,7,12,4,8,9,2,0,0,0,0,0,0,0,3,13,4,3,10,7,9,9,9
FOODS_1_019_TX_1_validation,9,11,2,8,11,0,1,0,0,3,5,3,11,7,14,11,7,0,11,1,0,0,0,8,4,5,6,7
FOODS_1_019_TX_2_validation,21,9,6,5,11,9,4,4,6,12,3,12,18,4,10,13,1,5,7,9,6,3,14,14,6,6,3,2
FOODS_1_019_TX_3_validation,4,10,6,7,6,5,8,6,5,4,6,4,3,10,5,20,7,7,9,1,3,10,5,3,1,5,8,0
FOODS_1_019_WI_1_validation,8,8,3,2,0,7,7,7,5,5,1,7,9,5,10,8,13,4,3,6,10,15,10,1,5,8,4,3
FOODS_1_019_WI_2_validation,12,10,3,15,1,8,11,16,7,15,9,11,6,3,6,11,11,6,5,4,12,7,6,5,31,7,4,8
FOODS_1_019_WI_3_validation,7,6,4,5,2,5,0,21,13,2,7,2,0,0,0,4,9,14,6,1,0,0,0,6,4,17,5,5
FOODS_1_020_CA_1_validation,0,3,1,0,2,4,2,1,0,1,1,0,0,2,2,0,3,1,0,0,2,3,2,0,1,3,1,3
FOODS_1_020_CA_2_validation,0,2,1,3,0,3,3,3,2,1,6,2,2,1,8,1,4,3,3,2,1,0,6,1,4,3,2,2
FOODS_1_020_CA_3_validation,0,0,7,2,1,0,1,0,1,2,1,0,0,0,1,3,2,3,0,1,0,3,0,0,2,1,1,2
FOODS_1_020_CA_4_validation,1,2,2,1,1,0,1,0,1,0,1,0,2,1,0,1,0,0,1,0,0,2,0,0,1,0,0,0
FOODS_1_020_TX_1_validation,0,0,1,1,0,2,0,0,0,2,0,2,0,1,0,0,0,2,2,0,0,0,1,0,1,0,0,0
FOODS_1_020_TX_2_validation,3,1,0,1,0,2,1,0,1,3,2,3,2,0,1,0,0,1,3,1,1,5,3,2,0,3,1,3
FOODS_1_020_TX_3_validation,3,1,2,1,1,1,1,2,2,0,1,1,0,0,2,2,1,1,1,2,1,1,0,0,1,0,0,4
FOODS_1_020_WI_1_validation,3,6,2,1,0,2,2,7,1,1,5,5,8,4,6,5,7,7,2,2,3,5,2,2,2,5,6,5
FOODS_1_020_WI_2_validation,2,3,5,0,1,3,2,2,2,1,3,6,2,2,1,6,2,1,2,2,0,3,0,0,7,1,2,3
