,Unnamed: 0,id,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28
40,40,HOBBIES_1_041_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,HOBBIES_1_042_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,HOBBIES_1_043_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,13,0,0,0,0,0,4,2
43,43,HOBBIES_1_044_CA_1_validation,3,3,2,1,1,0,4,8,1,1,1,1,2,1,4,4,2,3,3,0,3,5,3,2,6,5,1,2
44,44,HOBBIES_1_045_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,HOBBIES_1_046_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,HOBBIES_1_047_CA_1_validation,1,2,3,0,1,1,3,5,3,0,5,1,0,5,2,3,2,2,1,0,5,5,3,2,1,10,0,0
47,47,HOBBIES_1_048_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,HOBBIES_1_049_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,HOBBIES_1_050_CA_1_validation,2,0,1,0,1,0,2,1,0,0,1,0,0,2,2,0,0,0,0,0,2,0,1,1,1,1,0,0
50,50,HOBBIES_1_051_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,HOBBIES_1_052_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,HOBBIES_1_053_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,HOBBIES_1_054_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,HOBBIES_1_055_CA_1_validation,0,0,0,2,0,0,0,2,1,0,0,0,1,1,1,4,0,0,0,0,0,0,0,1,0,0,1,0
55,55,HOBBIES_1_056_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,HOBBIES_1_057_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,HOBBIES_1_058_CA_1_validation,1,2,3,0,0,0,0,1,1,0,0,0,0,3,1,1,0,1,0,0,0,2,2,0,1,1,0,1
58,58,HOBBIES_1_060_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,HOBBIES_1_061_CA_1_validation,1,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3
60,60,HOBBIES_1_062_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,HOBBIES_1_063_CA_1_validation,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1
62,62,HOBBIES_1_064_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,0,0,0,0,0,0,1,0,0,0,3,0
63,63,HOBBIES_1_065_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,HOBBIES_1_066_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,HOBBIES_1_067_CA_1_validation,0,7,6,7,4,5,5,35,14,10,37,6,9,5,49,4,8,1,5,1,4,15,0,0,26,2,30,0
66,66,HOBBIES_1_068_CA_1_validation,1,0,2,0,1,0,1,6,0,2,5,1,1,0,3,2,3,2,1,1,1,0,2,0,1,2,2,0
67,67,HOBBIES_1_069_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,HOBBIES_1_070_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,HOBBIES_1_072_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,HOBBIES_1_073_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,HOBBIES_1_074_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,HOBBIES_1_075_CA_1_validation,0,0,0,0,0,1,2,1,2,2,1,2,2,0,0,5,0,1,0,0,2,0,1,0,2,0,0,2
73,73,HOBBIES_1_076_CA_1_validation,0,1,2,3,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
74,74,HOBBIES_1_077_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,HOBBIES_1_078_CA_1_validation,5,0,0,0,0,0,0,0,8,5,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,76,HOBBIES_1_079_CA_1_validation,2,0,1,2,0,3,3,1,0,0,0,1,2,4,0,2,0,2,1,1,0,0,1,2,1,0,5,2
77,77,HOBBIES_1_080_CA_1_validation,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
78,78,HOBBIES_1_081_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,HOBBIES_1_082_CA_1_validation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
80,80,HOBBIES_1_083_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,HOBBIES_1_084_CA_1_validation,4,1,1,1,2,3,1,1,2,1,0,1,1,2,4,0,2,1,3,2,4,0,3,1,4,0,0,0
82,82,HOBBIES_1_085_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,HOBBIES_1_086_CA_1_validation,1,1,0,3,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
84,84,HOBBIES_1_087_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,HOBBIES_1_088_CA_1_validation,1,0,2,0,0,0,0,8,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
86,86,HOBBIES_1_089_CA_1_validation,5,4,4,5,2,3,5,3,5,1,2,4,9,5,7,2,0,3,1,4,7,11,7,6,3,2,4,8
87,87,HOBBIES_1_090_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,HOBBIES_1_091_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,89,HOBBIES_1_092_CA_1_validation,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0
90,90,HOBBIES_1_093_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,HOBBIES_1_094_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92,HOBBIES_1_095_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,HOBBIES_1_097_CA_1_validation,0,4,2,0,2,0,1,0,4,0,3,2,0,1,0,3,2,1,3,1,0,2,0,0,0,0,0,2
94,94,HOBBIES_1_098_CA_1_validation,2,2,4,0,0,0,0,3,3,1,1,0,0,1,2,1,0,0,0,2,2,1,0,0,0,3,3,0
95,95,HOBBIES_1_099_CA_1_validation,2,1,1,1,3,1,3,5,3,3,0,1,1,4,3,4,4,2,3,2,3,0,2,3,3,3,0,5
96,96,HOBBIES_1_100_CA_1_validation,1,2,2,1,3,1,5,4,1,2,2,1,1,1,3,3,4,1,3,0,1,1,0,3,3,0,3,1
97,97,HOBBIES_1_102_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,HOBBIES_1_103_CA_1_validation,25,8,5,22,7,16,0,5,16,30,2,25,5,24,0,0,0,0,19,9,14,43,4,21,13,0,26,1
99,99,HOBBIES_1_104_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,HOBBIES_1_105_CA_1_validation,0,0,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
101,101,HOBBIES_1_106_CA_1_validation,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,1,0
102,102,HOBBIES_1_107_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103,HOBBIES_1_108_CA_1_validation,4,2,6,5,1,6,2,7,4,1,2,0,2,2,1,4,2,0,3,1,2,4,4,4,1,3,2,3
104,104,HOBBIES_1_109_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,105,HOBBIES_1_110_CA_1_validation,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
106,106,HOBBIES_1_111_CA_1_validation,4,0,4,0,2,2,0,4,0,2,10,1,0,2,4,1,0,0,0,0,0,4,0,0,0,0,0,0
107,107,HOBBIES_1_112_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
108,108,HOBBIES_1_113_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,109,HOBBIES_1_114_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,110,HOBBIES_1_115_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,111,HOBBIES_1_116_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,112,HOBBIES_1_117_CA_1_validation,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
113,113,HOBBIES_1_118_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,1,1,0,0,0
114,114,HOBBIES_1_119_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,115,HOBBIES_1_120_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,116,HOBBIES_1_121_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,117,HOBBIES_1_122_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,118,HOBBIES_1_123_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,119,HOBBIES_1_124_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,120,HOBBIES_1_125_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,121,HOBBIES_1_126_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,122,HOBBIES_1_127_CA_1_validation,1,3,0,0,0,1,3,3,0,2,3,0,0,1,0,1,0,1,0,2,0,2,1,6,0,1,0,5
123,123,HOBBIES_1_128_CA_1_validation,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,124,HOBBIES_1_129_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,125,HOBBIES_1_130_CA_1_validation,4,3,4,3,0,1,0,0,0,3,0,0,2,4,0,3,0,0,0,1,2,5,0,3,2,1,0,2
126,126,HOBBIES_1_131_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,127,HOBBIES_1_132_CA_1_validation,0,2,2,1,1,5,0,7,3,1,1,4,1,0,4,4,2,0,0,2,2,2,3,2,2,2,0,1
128,128,HOBBIES_1_133_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,129,HOBBIES_1_134_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,130,HOBBIES_1_135_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,131,HOBBIES_1_136_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,132,HOBBIES_1_137_CA_1_validation,0,0,0,2,2,1,1,3,1,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0
133,133,HOBBIES_1_138_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,134,HOBBIES_1_139_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,135,HOBBIES_1_140_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,136,HOBBIES_1_141_CA_1_validation,2,1,3,0,2,0,3,4,1,1,1,3,1,0,2,3,2,0,1,1,2,2,2,2,2,0,0,2
137,137,HOBBIES_1_142_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,138,HOBBIES_1_143_CA_1_validation,0,2,2,0,1,1,1,3,0,1,4,0,0,1,1,0,1,1,0,0,1,4,0,2,0,0,1,0
139,139,HOBBIES_1_144_CA_1_validation,3,0,1,0,3,2,0,2,1,1,2,2,2,5,2,3,0,2,1,1,3,1,3,0,0,2,2,2
140,140,HOBBIES_1_145_CA_1_validation,0,12,0,4,0,0,4,0,4,0,0,5,3,0,11,0,0,9,0,0,2,0,0,0,0,0,2,0
141,141,HOBBIES_1_146_CA_1_validation,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
142,142,HOBBIES_1_147_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,143,HOBBIES_1_148_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,144,HOBBIES_1_149_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,145,HOBBIES_1_150_CA_1_validation,3,1,5,5,0,0,1,5,11,0,0,0,1,2,7,2,1,0,1,3,7,4,2,1,3,3,0,0
146,146,HOBBIES_1_151_CA_1_validation,2,1,2,1,1,2,1,1,0,1,0,1,0,1,0,1,0,3,1,0,2,1,1,1,0,2,0,0
147,147,HOBBIES_1_152_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,148,HOBBIES_1_153_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,149,HOBBIES_1_154_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,150,HOBBIES_1_155_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,151,HOBBIES_1_156_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,152,HOBBIES_1_157_CA_1_validation,0,0,2,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
153,153,HOBBIES_1_158_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,154,HOBBIES_1_159_CA_1_validation,2,1,0,4,1,7,0,1,0,0,0,0,0,1,0,4,2,0,0,0,1,2,2,2,1,1,1,0
155,155,HOBBIES_1_160_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,156,HOBBIES_1_161_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,157,HOBBIES_1_162_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,158,HOBBIES_1_163_CA_1_validation,0,0,1,0,0,0,0,0,3,0,1,1,0,2,1,2,1,0,1,0,0,0,0,0,1,1,0,0
159,159,HOBBIES_1_164_CA_1_validation,3,2,2,0,0,0,0,4,3,0,0,0,1,3,1,2,1,1,1,0,1,3,1,1,2,1,0,1
160,160,HOBBIES_1_165_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,161,HOBBIES_1_166_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,162,HOBBIES_1_167_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,163,HOBBIES_1_168_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,164,HOBBIES_1_169_CA_1_validation,45,15,13,8,29,5,3,13,7,24,28,25,1,0,21,3,27,16,40,7,2,24,0,0,1,10,13,5
165,165,HOBBIES_1_170_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,166,HOBBIES_1_171_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,167,HOBBIES_1_172_CA_1_validation,1,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,0,3,3,1,2,0,0,0,1
168,168,HOBBIES_1_173_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,169,HOBBIES_1_174_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,170,HOBBIES_1_175_CA_1_validation,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
171,171,HOBBIES_1_176_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,172,HOBBIES_1_177_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,173,HOBBIES_1_178_CA_1_validation,10,19,12,6,5,7,6,38,10,3,2,5,10,6,13,9,20,6,0,0,0,13,2,15,8,27,7,0
